customer_id,first_name,last_name,email,signup_date
78966,Daniel,Watson,bryanmoore@test.com,2000-01-01
22292,Jessica,Simmons,garzalinda@example.com,2000-01-02
51636,Mary,Ryan,allison10@test.com,2000-01-02
29174,Melissa,Holloway,singhdavid@example.com,2000-01-03
46406,Wendy,Taylor,bowmanlisa@mail.com,2000-01-03
6364,Charles,Johnson,campbellchristine@sample.net,2000-01-03
80677,Crystal,Osborne,edwardsmegan@mail.com,2000-01-03
62631,Steven,Watson,april36@demo.org,2000-01-04
23836,Victor,Klein,gregoryjimenez@demo.org,2000-01-05
4863,Angela,Sexton,slozano@sample.net,2000-01-05
19306,Dawn,Knight,jeremyjackson@example.com,2000-01-06
28753,Matthew,Thomas,chad85@test.com,2000-01-06
3028,Kimberly,Green,brooke62@sample.net,2000-01-06
66510,Karen,Williams,heatherroberts@demo.org,2000-01-06
75329,Tony,Ruiz,rachel37@demo.org,2000-01-08
25025,Holly,Wood,monicaharper@mail.com,2000-01-09
5198,John,Warren,harrelldaniel@example.com,2000-01-09
85283,Rebecca,Moore,ryanhoffman@sample.net,2000-01-09
55678,Crystal,Barnes,kristen12@demo.org,2000-01-10
60643,Terri,Russell,lisaporter@sample.net,2000-01-10
86634,Barbara,Perry,gordonhicks@example.com,2000-01-10
48402,Thomas,Torres,debra41@demo.org,2000-01-11
61959,Jeffrey,Robinson,tjohnson@demo.org,2000-01-11
14811,Donald,Thomas,kathryn10@sample.net,2000-01-12
19254,Mallory,Hernandez,dawn63@mail.com,2000-01-12
24266,Derek,Snyder,cassie13@test.com,2000-01-12
31497,Kaitlyn,Flores,shelby62@test.com,2000-01-12
35827,Katherine,Estes,ymoore@mail.com,2000-01-13
59933,Kenneth,Hughes,seancharles@demo.org,2000-01-13
72722,Albert,Moore,pamela08@sample.net,2000-01-13
26265,David,Burns,ryanmorgan@example.com,2000-01-14
29613,Kim,Phillips,mendozacharlotte@sample.net,2000-01-14
55957,Susan,Barrett,odaugherty@example.com,2000-01-14
66695,Rebekah,Matthews,nicole06@demo.org,2000-01-14
76925,Robert,Smith,ejones@example.com,2000-01-14
11987,Charles,Long,jason36@sample.net,2000-01-15
73209,Lindsay,Smith,rodriguezjeffrey@test.com,2000-01-15
89782,Theodore,Graham,halljohn@test.com,2000-01-15
22695,Ashley,Wright,sophiakhan@test.com,2000-01-16
87948,Daniel,Ramos,johnvargas@mail.com,2000-01-16
